X_pct,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
10.0,-0.59,0.74,-1.14,0.46,-1.5,-1.34,-2.79,-1.15,0.88,-0.82,1.29
11.0,-0.37,-0.24,0.43,-2.45,0.29,-1.14,-1.1,0.33,-1.43,-1.5,-1.28
12.0,-0.72,0.83,1.26,-1.16,-0.86,-1.28,-1.19,-0.54,-1.91,-2.94,-2.57
13.0,-1.22,-3.23,-1.12,-1.94,-2.93,-0.41,-1.39,0.0,-0.13,-0.67,-1.85
14.0,-0.5,-3.47,-1.06,-2.25,-1.2,-1.33,-2.67,-2.56,-0.7,-0.75,-2.32
15.0,-1.76,-1.32,-1.57,-3.4,-0.87,-1.81,-1.63,-0.65,-2.67,-2.73,-2.59
16.0,-1.7,-2.94,-2.34,-4.43,-3.29,-1.82,-2.41,-1.03,-2.45,-1.35,-2.5
17.0,-2.28,-2.49,-0.49,-3.63,-2.45,-2.39,-0.45,-3.13,-1.51,-1.42,-2.52
18.0,-1.99,-3.21,-1.75,-2.44,-2.87,-0.91,-1.97,-2.51,-1.86,-1.45,-1.32
19.0,-2.12,-2.19,-2.09,-3.37,-3.07,-3.27,-1.53,0.01,-0.75,-1.57,-2.25
20.0,-2.71,-2.33,-2.35,-2.71,-2.68,-2.54,-2.37,-1.43,-0.63,-2.11,-1.53
